"YEAR","MO","DD","HH","MI","SS","LATITUDE","LONG.","DEPTH","ERR","MAG","MT","Q","Io","Area","M_TYPE","MW_SCOR","MW_BRProxy","s_MW_BRProxy","ST","Locality","(Reference) Comments"
1724,1,4,10,30,,-13,-38.5,0,0,2.8,4,"C","3-4",,"M(Io)",3.4,2.8,0.6,"BA","SALVADOR",
1744,9,24,15,,,-15.3,-58,0,0,2.8,4,"C","3-4",,"M(Io)",3.4,2.8,0.6,"MT","CUIABA","EFEITO DE SISMO ANDINO ?"
1767,8,1,23,,,-20.31,-40.33,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"ES","VITORIA","EPI.NO ALTO VIT-TRINDADE?"
1789,5,9,,,,-25.01,-47.94,0,0,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"SP","CANANEIA","(SANTOS 1850)"
1807,8,8,11,,,-5.7,-37.7,0,100,4.8,3,"B","6",230,"M(Af)",5.1,4.9,0.4,"RN","Assu","(Veloso 2012) Date corrected"
1811,,0,23,,,-30.04,-51.3,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"RS","PORTO ALEGRE","EPIC. DUVIDOSO"
1811,10,28,22,30,,-8.08,-34.87,0,50,3.8,3,"C","5",0.6,"M(Af)",4.3,2.8,0.4,"PE","RECIFE","AREA IV APROX."
1824,,0,,,,-21.98,-44.88,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"MG","CAXAMBU",
1826,,0,,,,-11.71,-47.77,0,0,2.6,4,"C","3",,"M(Io)",3.2,2.6,0.6,"GO","NATIVIDADE",
1832,,0,,,,-20.82,-45.72,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MG","Guapeh","(Passos Maia: Guape; UnB/Furnas)"
1834,,0,,,,-11.71,-47.77,0,0,2.6,4,"C","3",,"M(Io)",3.2,2.6,0.6,"GO","NATIVIDADE",
1839,7,16,2,,,-21.84,-45.39,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","CAMPANHA",
1840,,0,,,,-21.03,-44.75,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","BOM SUCESSO","VARIOS EVENTOS"
1848,8,9,18,35,0,-36.3,-54.8,0,100,5,3,"B","5-6",170,"M(Af)",5.3,4.8,0.4,"UR","Uruguay","(Benavidez 1998)"
1854,1,10,10,,,-5.2,-35.46,0,50,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"RN","TOUROS",
1855,7,25,9,,,-19.95,-43.48,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MG","S.Joao M.GRANDE","ATUAL B. DE COCAIS"
1861,7,31,4,,,-22.6,-45.2,0,50,4.4,3,"B","5",52,"M(Af)",4.8,4.4,0.4,"SP","LORENA",
1863,4,9,2,45,,-21.93,-45.25,0,20,3.6,3,"B","4",1.5,"M(Af)",4.1,3.1,0.4,"MG","CAMPANHA",
1864,11,23,14,30,,-2.53,-44.3,0,0,3.2,4,"C","4-5",,"M(Io)",3.8,3.2,0.6,"MA","SAO LUIS",
1871,4,5,4,30,,-3.4,-44.35,0,0,3.7,4,"C","5-6",,"M(Io)",4.2,3.7,0.6,"MA","ITAPICURU-M.",
1874,10,30,12,30,,-23.5,-47.5,0,10,3.6,3,"B","5",1.7,"M(Af)",4.1,3.2,0.4,"SP","SOROCABA",
1876,6,27,21,30,,-16.57,-57.82,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MT","CAMBARA",
1879,3,1,,,,-15.6,-56.1,0,0,3.5,4,"C","5",,"M(Io)",4.0,3.5,0.6,"MT","CUIABA",
1879,7,24,20,25,,-6,-35.5,0,50,4.3,3,"B","5",30,"M(Af)",4.7,4.2,0.4,"RN","NATAL","Sentido forte em Areia; PB"
1882,10,21,,,,-21.79,-46.58,0,0,3,4,"C","4",,"M(Io)",3.6,3.0,0.6,"MG","Pocos de CALDAS",
