,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,M_TYPE,MW_SCOR,MW_BRProxy,s_MW_BRProxy,ST,Locality,(Reference) Comments,t_MW_BRProxy
0,1724,1,4,10,30,0,-13.0,-38.5,0.0,0,2.8,4,C,3-4,,M(Io),3.41,2.4,0.6,BA,SALVADOR,,Mw(mb(I0))
1,1744,9,24,15,0,0,-15.3,-58.0,0.0,0,2.8,4,C,3-4,,M(Io),3.41,2.4,0.6,MT,CUIABA,EFEITO DE SISMO ANDINO ?,Mw(mb(I0))
2,1767,8,1,23,0,0,-20.31,-40.33,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,ES,VITORIA,EPI.NO ALTO VIT-TRINDADE?,Mw(mb(I0))
3,1789,5,9,0,0,0,-25.01,-47.94,0.0,0,3.7,4,C,5-6,,M(Io),4.175,3.4,0.6,SP,CANANEIA,(SANTOS 1850),Mw(mb(I0))
4,1807,8,8,11,0,0,-5.7,-37.7,0.0,100,4.8,3,B,6,230.0,M(Af),5.11,4.6,0.4,RN,Assu,(Veloso 2012) Date corrected,Mw(Af)
5,1811,1,1,23,0,0,-30.04,-51.3,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,RS,PORTO ALEGRE,EPIC. DUVIDOSO,Mw(mb(I0))
6,1811,10,28,22,30,0,-8.08,-34.87,0.0,50,3.8,3,C,5,0.6,M(Af),4.26,2.6,0.4,PE,RECIFE,AREA IV APROX.,Mw(Af)
7,1824,1,1,0,0,0,-21.98,-44.88,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,MG,CAXAMBU,,Mw(mb(I0))
8,1826,1,1,0,0,0,-11.71,-47.77,0.0,0,2.6,4,C,3,,M(Io),3.24,2.1,0.6,GO,NATIVIDADE,,Mw(mb(I0))
9,1832,1,1,0,0,0,-20.82,-45.72,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,MG,Guapeh,(Passos Maia: Guape; UnB/Furnas),Mw(mb(I0))
10,1834,1,1,0,0,0,-11.71,-47.77,0.0,0,2.6,4,C,3,,M(Io),3.24,2.1,0.6,GO,NATIVIDADE,,Mw(mb(I0))
11,1839,7,16,2,0,0,-21.84,-45.39,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,CAMPANHA,,Mw(mb(I0))
12,1840,1,1,0,0,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,BOM SUCESSO,VARIOS EVENTOS,Mw(mb(I0))
13,1848,8,9,18,35,0,-36.3,-54.8,0.0,100,5.0,3,B,5-6,170.0,M(Af),5.28,4.5,0.4,UR,Uruguay,(Benavidez 1998),Mw(Af)
14,1854,1,10,10,0,0,-5.2,-35.46,0.0,50,3.7,4,C,5-6,,M(Io),4.175,3.4,0.6,RN,TOUROS,,Mw(mb(I0))
15,1855,7,25,9,0,0,-19.95,-43.48,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,MG,S.Joao M.GRANDE,ATUAL B. DE COCAIS,Mw(mb(I0))
16,1861,7,31,4,0,0,-22.6,-45.2,0.0,50,4.4,3,B,5,52.0,M(Af),4.77,4.0,0.4,SP,LORENA,,Mw(Af)
17,1863,4,9,2,45,0,-21.93,-45.25,0.0,20,3.6,3,B,4,1.5,M(Af),4.09,2.9,0.4,MG,CAMPANHA,,Mw(Af)
18,1864,11,23,14,30,0,-2.53,-44.3,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,MA,SAO LUIS,,Mw(mb(I0))
19,1871,4,5,4,30,0,-3.4,-44.35,0.0,0,3.7,4,C,5-6,,M(Io),4.175,3.4,0.6,MA,ITAPICURU-M.,,Mw(mb(I0))
20,1874,10,30,12,30,0,-23.5,-47.5,0.0,10,3.6,3,B,5,1.7,M(Af),4.09,2.9,0.4,SP,SOROCABA,,Mw(Af)
21,1876,6,27,21,30,0,-16.57,-57.82,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MT,CAMBARA,,Mw(mb(I0))
22,1879,3,1,0,0,0,-15.6,-56.1,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,MT,CUIABA,,Mw(mb(I0))
23,1879,7,24,20,25,0,-6.0,-35.5,0.0,50,4.3,3,B,5,30.0,M(Af),4.685,3.8,0.4,RN,NATAL,Sentido forte em Areia; PB,Mw(Af)
24,1882,10,21,0,0,0,-21.79,-46.58,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,Pocos de CALDAS,,Mw(mb(I0))
25,1883,2,21,0,0,0,-21.86,-42.67,0.0,0,2.6,4,C,3,,M(Io),3.24,2.1,0.6,MG,A. PARAIBA,,Mw(mb(I0))
26,1886,5,9,18,15,0,-22.66,-43.69,0.0,20,4.3,3,A,5,23.0,M(Af),4.685,3.7,0.4,RJ,S.PEDRO-S.P.,AREA IV = 4700 KM2,Mw(Af)
27,1887,8,27,11,20,0,-25.52,-48.51,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,PR,PARANAGUA',,Mw(mb(I0))
28,1888,5,1,7,30,0,-4.19,-38.7,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,CE,ACARAPE,,Mw(mb(I0))
29,1888,6,5,0,20,0,-34.5,-58.0,0.0,80,5.0,3,A,5,245.0,M(Af),5.28,4.7,0.4,AR,B.Aires;Colonia(UR),(Benavidez 1998),Mw(Af)
30,1898,2,25,4,0,0,-26.93,-49.06,0.0,0,3.9,3,C,-,5.4,M(Af),4.345,3.3,0.4,SC,BLUMENAU,,Mw(Af)
31,1899,5,1,0,0,0,-18.6,-46.55,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,MG,PATOS,(WILLIAMS 1922) 04.1899?,Mw(mb(I0))
32,1899,12,1,0,0,0,-13.03,-39.6,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,BA,AMARGOSA,,Mw(mb(I0))
33,1901,4,4,16,0,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,BOM SUCESSO,varios eventos,Mw(mb(I0))
34,1901,4,5,8,0,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,BOM SUCESSO,,Mw(mb(I0))
