,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
0,1724,1,4,10,30,0,-13.0,-38.5,0.0,0,2.8,4,C,3-4,,BA,SALVADOR,,2.4,0.6,Mw(mb(I0))
1,1744,9,24,15,0,0,-15.3,-58.0,0.0,0,2.8,4,C,3-4,,MT,CUIABA,EFEITO DE SISMO ANDINO ?,2.4,0.6,Mw(mb(I0))
2,1767,8,1,23,0,0,-20.31,-40.33,0.0,0,3.5,4,C,5,,ES,VITORIA,EPI.NO ALTO VIT-TRINDADE?,2.4,0.6,Mw(mb(I0))
3,1789,5,9,0,0,0,-25.01,-47.94,0.0,0,3.7,4,C,5-6,,SP,CANANEIA,(SANTOS 1850),3.3,0.6,Mw(mb(I0))
4,1807,8,8,11,0,0,-5.7,-37.7,0.0,100,4.8,3,B,6,230.0,RN,Assu,(Veloso 2012) Date corrected,4.6,0.4,Mw(Af)
5,1811,1,1,23,0,0,-30.04,-51.3,0.0,0,3.5,4,C,5,,RS,PORTO ALEGRE,EPIC. DUVIDOSO,3.3,0.6,Mw(mb(I0))
6,1811,10,28,22,30,0,-8.08,-34.87,0.0,50,3.8,3,C,5,0.6,PE,RECIFE,AREA IV APROX.,2.6,0.4,Mw(Af)
7,1824,1,1,0,0,0,-21.98,-44.88,0.0,0,3.2,4,C,4-5,,MG,CAXAMBU,,2.9,0.6,Mw(mb(I0))
8,1832,1,1,0,0,0,-20.82,-45.72,0.0,0,3.5,4,C,5,,MG,Guapeh,"(Passos Maia: ""Guape""; UnB/Furnas)",2.9,0.6,Mw(mb(I0))
9,1839,7,16,2,0,0,-21.84,-45.39,0.0,0,3.0,4,C,4,,MG,CAMPANHA,,2.9,0.6,Mw(mb(I0))
10,1840,1,1,0,0,0,-21.03,-44.75,0.0,0,3.0,4,C,4,,MG,BOM SUCESSO,VARIOS EVENTOS,2.9,0.6,Mw(mb(I0))
11,1848,8,9,18,35,0,-36.3,-54.8,0.0,100,5.0,3,B,5-6,170. ,UR,Uruguay,(Benavidez 1998),4.5,0.4,Mw(Af)
12,1854,1,10,10,0,0,-5.2,-35.46,0.0,50,3.7,4,C,5-6,,RN,TOUROS,,3.3,0.6,Mw(mb(I0))
13,1855,7,25,9,0,0,-19.95,-43.48,0.0,0,3.5,4,C,5,,MG,S.Joao M.GRANDE,ATUAL B. DE COCAIS,3.3,0.6,Mw(mb(I0))
14,1861,7,31,4,0,0,-22.8,-45.25,0.0,50,5.0,3,B,6,200.,SP,Lorena,(Paola Albini 2015; IAG) Af=200000 Aiv=73,4.6,0.4,Mw(Af)
15,1862,9,19,7,0,0,-19.46,-45.6,0.0,0,3.6,3,C,5,4.0,MG,Dores_do_Indaiá,(Diario_do_Rio-RJ 1862-10-24) (*),3.2,0.4,Mw(Af)
16,1863,4,9,2,45,0,-21.93,-45.25,0.0,20,3.6,3,B,4,1.5,MG,CAMPANHA,,2.9,0.4,Mw(Af)
17,1864,11,23,14,30,0,-2.53,-44.3,0.0,0,3.2,4,C,4-5,,MA,SAO LUIS,,2.9,0.6,Mw(mb(I0))
18,1871,4,5,4,30,0,-3.4,-44.35,0.0,0,3.7,4,C,5-6,,MA,ITAPICURU-M.,,3.3,0.6,Mw(mb(I0))
19,1874,10,30,12,30,0,-23.5,-47.5,0.0,10,3.6,3,B,5,1.7,SP,SOROCABA,,2.9,0.4,Mw(Af)
20,1876,6,27,21,30,0,-16.57,-57.82,0.0,0,3.0,4,C,4,,MT,CAMBARA,,3.3,0.6,Mw(mb(I0))
21,1879,3,1,0,0,0,-15.6,-56.1,0.0,0,3.5,4,C,5,,MT,CUIABA,,3.3,0.6,Mw(mb(I0))
22,1879,7,24,20,25,0,-6.0,-35.5,0.0,50,4.3,3,B,5,30.0,RN,NATAL,Sentido forte em Areia; PB,3.8,0.4,Mw(Af)
23,1882,10,21,0,0,0,-21.79,-46.58,0.0,0,3.0,4,C,4,,MG,Pocos de CALDAS,,3.3,0.6,Mw(mb(I0))
24,1886,5,9,18,15,0,-22.66,-43.69,0.0,20,4.3,3,A,5,23.0,RJ,S.PEDRO-S.P.,AREA IV = 4700 KM2,3.7,0.4,Mw(Af)
25,1887,8,27,11,20,0,-25.52,-48.51,0.0,0,3.0,4,C,4,,PR,PARANAGUA',,3.3,0.6,Mw(mb(I0))
26,1888,5,1,7,30,0,-4.19,-38.7,0.0,0,3.0,4,C,4,,CE,ACARAPE,,3.3,0.6,Mw(mb(I0))
27,1888,6,5,0,20,0,-34.5,-58.0,0.0,80,5.0,3,A,5,245. ,AR,B.Aires;Colonia(UR),(Benavidez 1998),4.7,0.4,Mw(Af)
28,1898,2,25,4,0,0,-26.93,-49.06,0.0,0,3.9,3,C,-,5.4,SC,BLUMENAU,,3.3,0.4,Mw(Af)
